SubjID,Run,Order,Onset
5,1,1,
5,1,1,6
5,1,1,
5,1,1,14
5,1,1,
5,1,1,22
5,1,1,
5,1,1,
5,1,1,38
5,1,1,
5,1,1,46
5,1,1,
5,1,1,54
5,1,1,
5,1,1,66
5,1,1,
5,1,1,78
5,1,1,
5,1,1,
5,1,1,
5,1,1,102
5,1,1,
5,1,1,
5,1,1,116
5,1,1,
5,1,1,126
5,1,1,
5,1,1,136
5,1,1,
5,1,1,146
5,1,1,
5,1,1,156
5,1,1,
5,1,1,
5,1,1,
5,1,1,
5,1,1,182
5,1,1,
5,1,1,
5,1,1,200
5,1,1,
5,1,1,
5,1,1,220
5,1,1,
5,1,1,228
5,1,1,
5,1,1,236
5,1,1,
5,1,1,246
5,1,1,
5,1,1,258
5,1,1,
5,1,1,
5,1,1,274
5,1,1,
5,1,1,282
5,1,1,
5,1,1,292
5,1,1,
5,1,1,300
5,1,1,
5,1,1,312
5,1,1,
5,1,1,
5,1,1,
5,1,1,338
5,1,1,
5,1,1,350
