SubjID,List,Run,Order,TrialNum,ItemNum,Condition,Type1,Type1_sameconstr,Type2,Type3,Onset,Response,RT,Correctness
pilot2n,1,1,1,1,52,DOPP_SEM_DIFF,DblObj,1,occ-name,occup_switch,0,1,0.561266660999536,0
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,2,62,DOPP_SYNT_DIFF,PP,1,occ-name,NA,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,3,24,ActPas_SEM_DIFF,passive,1,occ-name,verb_switch,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,4,68,DOPP_SEM_DIFF,PP,1,occ-name,obj_switch,,,,
pilot2n,1,1,1,5,44,DOPP_SEM_DIFF,DblObj,1,occ-name,obj_switch,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,6,76,DOPP_SEM_DIFF,PP,1,occ-name,obj_switch,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,7,33,ActPas_SEM_SAME,passive,1,name-occ,noun_synon,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,8,4,ActPas_SEM_DIFF,active,1,occ-name,verb_switch,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,9,35,ActPas_SYNT_SAME,passive,0,name-occ,NA,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,10,7,ActPas_SYNT_SAME,active,0,name-occ,NA,,,,
pilot2n,1,1,1,11,70,DOPP_SYNT_DIFF,PP,1,occ-name,NA,,,,
pilot2n,1,1,1,12,61,DOPP_SEM_SAME,PP,1,name-occ,occup_synon,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,13,72,DOPP_SEM_DIFF,PP,1,occ-name,occup_switch,,,,
pilot2n,1,1,1,14,2,ActPas_SYNT_DIFF,active,1,occ-name,NA,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,15,19,ActPas_SYNT_SAME,active,0,name-occ,NA,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,16,74,DOPP_SYNT_DIFF,PP,0,occ-name,NA,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,17,5,ActPas_SEM_SAME,active,1,name-occ,noun_synon,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,18,11,ActPas_SYNT_SAME,active,0,name-occ,NA,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,19,77,DOPP_SEM_SAME,PP,1,name-occ,obj_synon,,,,
pilot2n,1,1,1,20,57,DOPP_SEM_SAME,DblObj,1,name-occ,obj_synon,,,,
pilot2n,1,1,1,21,39,ActPas_SYNT_SAME,passive,0,name-occ,NA,,,,
pilot2n,1,1,1,22,1,ActPas_SEM_SAME,active,1,name-occ,noun_synon,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,23,49,DOPP_SEM_SAME,DblObj,1,name-occ,obj_synon,,,,
pilot2n,1,1,1,24,21,ActPas_SEM_SAME,passive,1,name-occ,noun_synon,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,25,53,DOPP_SEM_SAME,DblObj,1,name-occ,occup_synon,,,,
pilot2n,1,1,1,26,66,DOPP_SYNT_DIFF,PP,1,occ-name,NA,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,27,47,DOPP_SYNT_SAME,DblObj,0,name-occ,NA,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,28,78,DOPP_SYNT_DIFF,PP,0,occ-name,NA,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,29,79,DOPP_SYNT_SAME,PP,0,name-occ,NA,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,30,36,ActPas_SEM_DIFF,passive,1,occ-name,verb_switch,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,31,67,DOPP_SYNT_SAME,PP,0,name-occ,NA,,,,
pilot2n,1,1,1,32,75,DOPP_SYNT_SAME,PP,0,name-occ,NA,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,33,18,ActPas_SYNT_DIFF,active,0,occ-name,NA,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,34,37,ActPas_SEM_SAME,passive,1,name-occ,verb_synon,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,35,26,ActPas_SYNT_DIFF,passive,0,occ-name,NA,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,36,10,ActPas_SYNT_DIFF,active,1,occ-name,NA,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,37,43,DOPP_SYNT_SAME,DblObj,0,name-occ,NA,,,,
pilot2n,1,1,1,38,16,ActPas_SEM_DIFF,active,1,occ-name,verb_switch,,,,
pilot2n,1,1,1,39,40,ActPas_SEM_DIFF,passive,1,occ-name,noun_switch,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot2n,1,1,1,40,14,ActPas_SYNT_DIFF,active,0,occ-name,NA,,,,
pilot2n,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
